"code","region","name","type_1_departments_major_a_e_4","type_2_departments_single_specialty_5","type_3_departments_other_a_e_minor_injury_unit_6","total_attendances","type_1_departments_major_a_e_8","type_2_departments_single_specialty_9","type_3_departments_other_a_e_minor_injury_unit_10","total_attendances_4_hours","type_1_departments_major_a_e_12","type_2_departments_single_specialty_13","type_3_departments_other_a_e_minor_injury_unit_14","total_attendances_4_hours_2","percentage_in_4_hours_or_less_all","percentage_in_4_hours_or_less_type_1","percentage_in_4_hours_or_less_type_2","percentage_in_4_hours_or_less_type_3","emergency_admissions_via_type_1_a_e","emergency_admissions_via_type_2_a_e","emergency_admissions_via_type_3_and_4_a_e","total_emergency_admissions_via_a_e","other_emergency_admissions_i_e_not_via_a_e","total_emergency_admissions","number_of_patients_spending_4_hours_from_decision_to_admit_to_admission","number_of_patients_spending_12_hours_from_decision_to_admit_to_admission","x28","month"
"Y02147","NHS England London","Urgent Care Centre (Qms)",0,0,9251,9251,0,0,9147,9147,0,0,104,104,0.988757972111123,NA,NA,0.988757972111123,0,0,0,0,0,0,0,0,"South West London Health & Care Partnership (STP)",2019-08-01
"RKE","NHS England London","Whittington Health NHS Trust",8778,0,0,8778,7267,0,0,7267,1511,0,0,1511,0.827865117338802,0.827865117338802,NA,NA,1231,0,0,1231,103,1334,448,10,"North London Partners In Health & Care (STP)",2019-08-01
"NL7","NHS England Midlands","Assura Vertis Urgent Care Centres (Birmingham)",0,0,5568,5568,0,0,5568,5568,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"8J094","NHS England Midlands","Badger Ltd",0,0,3436,3436,0,0,3436,3436,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"M85813","NHS England Midlands","Birmingham Wic",0,0,3232,3232,0,0,3232,3232,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"RQ3","NHS England Midlands","Birmingham Women's And Children's NHS Foundation Trust",3938,0,0,3938,3898,0,0,3898,40,0,0,40,0.989842559674962,0.989842559674962,NA,NA,816,0,0,816,198,1014,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"RFS","NHS England Midlands","Chesterfield Royal Hospital NHS Foundation Trust",6349,0,1920,8269,4536,0,1920,6456,1813,0,0,1813,0.780747369694038,0.714443219404631,NA,1,2272,0,0,2272,726,2998,362,0,"Northamptonshire STP",2019-08-01
"Y03571","NHS England Midlands","Corby Urgent Care Centre",0,0,6888,6888,0,0,6888,6888,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"RYG","NHS England Midlands","Coventry And Warwickshire Partnership NHS Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,12,12,73,85,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"RY8","NHS England Midlands","Derbyshire Community Health Services NHS Foundation Trust",0,0,7296,7296,0,0,7293,7293,0,0,3,3,0.999588815789474,NA,NA,0.999588815789474,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"NNJ","NHS England Midlands","Dhu Health Care C.I.C",0,0,1850,1850,0,0,1845,1845,0,0,5,5,0.997297297297297,NA,NA,0.997297297297297,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"Y03007","NHS England Midlands","Erdington GP Health & Wellbeing Wic",0,0,2306,2306,0,0,2306,2306,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Northamptonshire STP",2019-08-01
"RLT","NHS England Midlands","George Eliot Hospital NHS Trust",7876,0,0,7876,6530,0,0,6530,1346,0,0,1346,0.829101066531234,0.829101066531234,NA,NA,1433,0,0,1433,73,1506,297,1,"Northamptonshire STP",2019-08-01
"RNQ","NHS England Midlands","Kettering General Hospital NHS Foundation Trust",8020,0,0,8020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2491,0,0,2491,341,2832,508,0,"Lincolnshire STP",2019-08-01
"C82038","NHS England Midlands","Latham House Medical Practice",0,0,398,398,0,0,398,398,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2019-08-01
"RY5","NHS England Midlands","Lincolnshire Community Health Services NHS Trust",0,0,13055,13055,0,0,12494,12494,0,0,561,561,0.957027958636538,NA,NA,0.957027958636538,0,0,5,5,4,9,0,0,"Lincolnshire STP",2019-08-01
"NJS05","NHS England Midlands","Loughborough Urgent Care Centre",0,0,5141,5141,0,0,5029,5029,0,0,112,112,0.978214355183816,NA,NA,0.978214355183816,0,0,0,0,0,0,0,0,"Lincolnshire STP",2019-08-01
"NNJ12","NHS England Midlands","Market Harborough",0,0,596,596,0,0,595,595,0,0,1,1,0.998322147651007,NA,NA,0.998322147651007,0,0,0,0,0,0,0,0,"Nottingham and Nottinghamshire Health and Care STP",2019-08-01
"C82009","NHS England Midlands","Market Harborough Med.Ctr",0,0,497,497,0,0,497,497,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Shropshire and Telford and Wrekin STP",2019-08-01
"NNJ13","NHS England Midlands","Melton Mowbray",0,0,483,483,0,0,483,483,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Joined Up Care Derbyshire STP",2019-08-01
"RNS","NHS England Midlands","Northampton General Hospital NHS Trust",8649,1081,1592,11322,6247,1077,1592,8916,2402,4,0,2406,0.78749337572867,0.722280032373685,0.996299722479186,1,2363,0,0,2363,1220,3583,605,0,"Joined Up Care Derbyshire STP",2019-08-01
"NR3","NHS England Midlands","Nottingham Citycare Partnership",0,0,5274,5274,0,0,5265,5265,0,0,9,9,0.998293515358362,NA,NA,0.998293515358362,0,0,0,0,0,0,0,0,"Nottingham and Nottinghamshire Health and Care STP",2019-08-01
"RX1","NHS England Midlands","Nottingham University Hospitals NHS Trust",15525,1791,284,17600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4084,0,0,4084,3059,7143,1281,1,"Shropshire and Telford and Wrekin STP",2019-08-01
"NNJ14","NHS England Midlands","Oadby",0,0,2805,2805,0,0,2805,2805,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Joined Up Care Derbyshire STP",2019-08-01
"NNJ15","NHS England Midlands","Oakham",0,0,471,471,0,0,471,471,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Joined Up Care Derbyshire STP",2019-08-01
"C82010","NHS England Midlands","Oakham Medical Practice",0,0,278,278,0,0,278,278,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Shropshire and Telford and Wrekin STP",2019-08-01
"RXK","NHS England Midlands","Sandwell And West Birmingham Hospitals NHS Trust",13588,1244,2825,17657,10357,1223,2823,14403,3231,21,2,3254,0.815710483094523,0.762216661760377,0.983118971061093,0.99929203539823,3511,39,0,3550,571,4121,630,0,"Staffordshire and Stoke On Trent STP",2019-08-01
"RK5","NHS England Midlands","Sherwood Forest Hospitals NHS Foundation Trust",9438,0,4862,14300,8099,0,4660,12759,1339,0,202,1541,0.892237762237762,0.858126721763085,NA,0.958453311394488,3123,0,8,3131,416,3547,229,1,"Nottingham and Nottinghamshire Health and Care STP",2019-08-01
"RXW","NHS England Midlands","Shrewsbury And Telford Hospital NHS Trust",10291,0,2285,12576,7006,0,2224,9230,3285,0,61,3346,0.733937659033079,0.680789038966087,NA,0.973304157549234,2527,0,32,2559,2359,4918,758,1,"Birmingham and Solihull STP",2019-08-01
"R1D","NHS England Midlands","Shropshire Community Health NHS Trust",0,0,2941,2941,0,0,2941,2941,0,0,0,0,1,NA,NA,1,0,0,0,0,14,14,0,0,"Birmingham and Solihull STP",2019-08-01
"C83023","NHS England Midlands","Sleaford Medical Group",0,0,652,652,0,0,652,652,0,0,0,0,1,NA,NA,1,0,0,0,0,6,6,0,0,"Birmingham and Solihull STP",2019-08-01
"Y02615","NHS England Midlands","South Birmingham GP Walk In Centre",0,0,5864,5864,0,0,5864,5864,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Birmingham and Solihull STP",2019-08-01
"RJC","NHS England Midlands","South Warwickshire NHS Foundation Trust",6048,0,720,6768,5456,0,720,6176,592,0,0,592,0.912529550827423,0.902116402116402,NA,1,1803,0,0,1803,238,2041,52,0,"Birmingham and Solihull STP",2019-08-01
"Y02961","NHS England Midlands","Summerfield GP Surg & Urgent Care Centre",0,0,3274,3274,0,0,3274,3274,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"The Black Country and West Birmingham STP",2019-08-01
"RNA","NHS England Midlands","The Dudley Group NHS Foundation Trust",8973,0,5596,14569,6454,0,5596,12050,2519,0,0,2519,0.827098634086073,0.719268917864705,NA,1,2573,0,0,2573,852,3425,690,0,"The Black Country and West Birmingham STP",2019-08-01
"RL1","NHS England Midlands","The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,30,30,0,0,"Herefordshire and Worcestershire STP",2019-08-01
"RL4","NHS England Midlands","The Royal Wolverhampton NHS Trust",11991,0,8575,20566,9718,0,8461,18179,2273,0,114,2387,0.883934649421375,0.810441164206488,NA,0.986705539358601,2831,0,0,2831,876,3707,262,1,"Coventry and Warwickshire STP",2019-08-01
"RWD","NHS England Midlands","United Lincolnshire Hospitals NHS Trust",12574,0,2664,15238,7887,0,2664,10551,4687,0,0,4687,0.692413702585641,0.627246699538731,NA,1,4142,0,0,4142,1073,5215,1349,0,"The Black Country and West Birmingham STP",2019-08-01
"RRK","NHS England Midlands","University Hospitals Birmingham NHS Foundation Trust",30888,0,3535,34423,20685,0,3483,24168,10203,0,52,10255,0.702088719751329,0.669677544677545,NA,0.985289957567185,10689,0,1352,12041,3141,15182,3269,5,"Birmingham and Solihull STP",2019-08-01
"RKB","NHS England Midlands","University Hospitals Coventry And Warwickshire NHS Trust",12147,1955,6056,20158,9230,1939,6003,17172,2917,16,53,2986,0.851870225220756,0.759858401251338,0.991815856777494,0.991248348745046,4299,77,1,4377,669,5046,336,0,"The Black Country and West Birmingham STP",2019-08-01
"RTG","NHS England Midlands","University Hospitals Of Derby And Burton NHS Foundation Trust",17775,0,11768,29543,12072,0,11767,23839,5703,0,1,5704,0.806925498426023,0.67915611814346,NA,0.999915023793338,5370,0,149,5519,1927,7446,312,1,"Coventry and Warwickshire STP",2019-08-01
"RWE","NHS England Midlands","University Hospitals Of Leicester NHS Trust",19726,1746,0,21472,13244,1713,0,14957,6482,33,0,6515,0.696581594634873,0.671398154719659,0.981099656357388,NA,4904,5,0,4909,3382,8291,1439,0,"Coventry and Warwickshire STP",2019-08-01
"RJE","NHS England Midlands","University Hospitals Of North Midlands NHS Trust",15338,448,7238,23024,10840,448,7136,18424,4498,0,102,4600,0.800208478109798,0.706741426522363,1,0.985907709311965,5739,0,0,5739,2731,8470,733,0,"Birmingham and Solihull STP",2019-08-01
"RBK","NHS England Midlands","Walsall Healthcare NHS Trust",6748,0,4174,10922,4823,0,4174,8997,1925,0,0,1925,0.823750228895807,0.714730290456432,NA,1,2205,0,0,2205,803,3008,226,0,"Coventry and Warwickshire STP",2019-08-01
"RWP","NHS England Midlands","Worcestershire Acute Hospitals NHS Trust",11148,0,6322,17470,7314,0,6306,13620,3834,0,16,3850,0.779622209502003,0.656081808396125,NA,0.997469155330592,3064,0,0,3064,990,4054,1272,50,"Herefordshire and Worcestershire STP",2019-08-01
"RLQ","NHS England Midlands","Wye Valley NHS Trust",5432,0,346,5778,4351,0,346,4697,1081,0,0,1081,0.812911041883004,0.8009941089838,NA,1,1511,0,0,1511,227,1738,113,0,"The Black Country and West Birmingham STP",2019-08-01
"RCF","NHS England North East And Yorkshire","Airedale NHS Foundation Trust",5360,592,43,5995,4659,592,43,5294,701,0,0,701,0.883069224353628,0.869216417910448,1,1,1606,0,0,1606,852,2458,62,0,"Cumbria and North East STP",2019-08-01
"RFF","NHS England North East And Yorkshire","Barnsley Hospital NHS Foundation Trust",8719,0,0,8719,7957,0,0,7957,762,0,0,762,0.912604656497305,0.912604656497305,NA,NA,2441,0,0,2441,503,2944,16,0,"Cumbria and North East STP",2019-08-01
"RAE","NHS England North East And Yorkshire","Bradford Teaching Hospitals NHS Foundation Trust",10417,0,1015,11432,7912,0,1008,8920,2505,0,7,2512,0.780265920223933,0.759527695113756,NA,0.993103448275862,2704,0,118,2822,1486,4308,249,0,"Cumbria and North East STP",2019-08-01
"NNF09","NHS England North East And Yorkshire","Bransholme Health Centre",0,0,2958,2958,0,0,2927,2927,0,0,31,31,0.989519945909398,NA,NA,0.989519945909398,0,0,0,0,0,0,0,0,"Cumbria and North East STP",2019-08-01
"RWY","NHS England North East And Yorkshire","Calderdale And Huddersfield NHS Foundation Trust",13101,0,0,13101,11971,0,0,11971,1130,0,0,1130,0.913747042210518,0.913747042210518,NA,NA,2799,0,0,2799,1387,4186,136,0,"Cumbria and North East STP",2019-08-01
"RXP","NHS England North East And Yorkshire","County Durham And Darlington NHS Foundation Trust",11870,0,6617,18487,8415,0,6617,15032,3455,0,0,3455,0.813111916481852,0.708930075821398,NA,1,3683,0,0,3683,1441,5124,804,0,"Cumbria and North East STP",2019-08-01
"RP5","NHS England North East And Yorkshire","Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust",12251,0,3532,15783,10376,0,3520,13896,1875,0,12,1887,0.880440980802129,0.84695126928414,NA,0.996602491506229,3359,0,486,3845,974,4819,354,0,"Cumbria and North East STP",2019-08-01
"Y01069","NHS England North East And Yorkshire","Dr Local Care Direct Ooh",0,0,3322,3322,0,0,3322,3322,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Cumbria and North East STP",2019-08-01
"Y01231","NHS England North East And Yorkshire","Dr Local Care Direct Ooh",0,0,2845,2845,0,0,2835,2835,0,0,10,10,0.996485061511424,NA,NA,0.996485061511424,0,0,0,0,0,0,0,0,"Cumbria and North East STP",2019-08-01
"NNF94","NHS England North East And Yorkshire","East Riding Community Hospital",0,0,3027,3027,0,0,2992,2992,0,0,35,35,0.988437396762471,NA,NA,0.988437396762471,0,0,0,0,0,0,0,0,"Cumbria and North East STP",2019-08-01
"RR7","NHS England North East And Yorkshire","Gateshead Health NHS Foundation Trust",8075,0,2665,10740,7342,0,2661,10003,733,0,4,737,0.931378026070763,0.90922600619195,NA,0.998499061913696,1752,0,0,1752,274,2026,79,0,"Humber, Coast and Vale STP",2019-08-01
"NNFA7","NHS England North East And Yorkshire","Goole & District Hospital",0,0,1640,1640,0,0,1640,1640,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"RCD","NHS England North East And Yorkshire","Harrogate And District NHS Foundation Trust",4446,0,841,5287,3993,0,841,4834,453,0,0,453,0.914318138831095,0.898110661268556,NA,1,1032,0,0,1032,468,1500,14,0,"South Yorkshire and Bassetlaw STP",2019-08-01
"RWA","NHS England North East And Yorkshire","Hull University Teaching Hospitals NHS Trust",11431,0,0,11431,8581,0,0,8581,2850,0,0,2850,0.750677980929053,0.750677980929053,NA,NA,2906,0,0,2906,1497,4403,627,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"RV9","NHS England North East And Yorkshire","Humber Teaching NHS Foundation Trust",0,0,822,822,0,0,822,822,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"South Yorkshire and Bassetlaw STP",2019-08-01
"RR8","NHS England North East And Yorkshire","Leeds Teaching Hospitals NHS Trust",16875,0,7833,24708,13965,0,7831,21796,2910,0,2,2912,0.882143435324591,0.827555555555556,NA,0.999744669985957,4668,0,0,4668,1470,6138,928,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"RXF","NHS England North East And Yorkshire","Mid Yorkshire Hospitals NHS Trust",17625,0,4529,22154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3959,0,161,4120,986,5106,823,0,"Humber, Coast and Vale STP",2019-08-01
"RNL","NHS England North East And Yorkshire","North Cumbria University Hospitals NHS Trust",7754,0,2307,10061,5902,0,2300,8202,1852,0,7,1859,0.815227114600934,0.761155532628321,NA,0.996965756393585,1966,0,0,1966,640,2606,691,0,"Humber, Coast and Vale STP",2019-08-01
"RVW","NHS England North East And Yorkshire","North Tees And Hartlepool NHS Foundation Trust",3762,0,11048,14810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525,0,632,2157,2034,4191,0,0,"Humber, Coast and Vale STP",2019-08-01
"NLO01","NHS England North East And Yorkshire","Northern Doctors Urgent Care",0,0,1763,1763,0,0,1726,1726,0,0,37,37,0.979013045944413,NA,NA,0.979013045944413,0,0,0,0,0,0,0,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"RJL","NHS England North East And Yorkshire","Northern Lincolnshire And Goole NHS Foundation Trust",12648,0,0,12648,10467,0,0,10467,2181,0,0,2181,0.827561669829222,0.827561669829222,NA,NA,3119,0,0,3119,519,3638,325,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"RTF","NHS England North East And Yorkshire","Northumbria Healthcare NHS Foundation Trust",8904,0,10832,19736,8070,0,10743,18813,834,0,89,923,0.95323267126064,0.90633423180593,NA,0.991783604135894,4873,0,34,4907,690,5597,0,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"Y02572","NHS England North East And Yorkshire","Park Community Practice",0,0,768,768,0,0,768,768,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"South Yorkshire and Bassetlaw STP",2019-08-01
"RCU","NHS England North East And Yorkshire","Sheffield Children's NHS Foundation Trust",3945,0,0,3945,3876,0,0,3876,69,0,0,69,0.982509505703422,0.982509505703422,NA,NA,627,0,0,627,197,824,0,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"RHQ","NHS England North East And Yorkshire","Sheffield Teaching Hospitals NHS Foundation Trust",9355,1158,8940,19453,6350,1158,8903,16411,3005,0,37,3042,0.843623091554002,0.678781400320684,1,0.99586129753915,2962,0,0,2962,2745,5707,410,0,"Humber, Coast and Vale STP",2019-08-01
"RTR","NHS England North East And Yorkshire","South Tees Hospitals NHS Foundation Trust",9634,0,3998,13632,8468,0,3989,12457,1166,0,9,1175,0.913805751173709,0.878970313473116,NA,0.997748874437219,2039,0,145,2184,2171,4355,397,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"R0B","NHS England North East And Yorkshire","South Tyneside And Sunderland NHS Foundation Trust",13674,2113,4263,20050,11384,2052,4257,17693,2290,61,6,2357,0.882443890274314,0.832528886938716,0.971131093232371,0.998592540464462,4178,30,0,4208,794,5002,242,0,"South Yorkshire and Bassetlaw STP",2019-08-01
"RXG","NHS England North East And Yorkshire","South West Yorkshire Partnership NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,130,130,0,0,"South Yorkshire and Bassetlaw STP",2019-08-01
"RTD","NHS England North East And Yorkshire","The Newcastle Upon Tyne Hospitals NHS Foundation Trust",9703,1892,7145,18740,8860,1855,7144,17859,843,37,1,881,0.95298826040555,0.913119653715346,0.980443974630021,0.999860041987404,2933,24,4,2961,2404,5365,39,0,"Humber, Coast and Vale STP",2019-08-01
"RFR","NHS England North East And Yorkshire","The Rotherham NHS Foundation Trust",8520,0,0,8520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1644,0,0,1644,214,1858,460,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"NNF76","NHS England North East And Yorkshire","The Wilberforce Health Centre",0,0,3293,3293,0,0,3293,3293,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-08-01
"AJN","NHS England North East And Yorkshire","Workington Health Limited",0,0,441,441,0,0,441,441,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Humber, Coast and Vale STP",2019-08-01
"RCB","NHS England North East And Yorkshire","York Teaching Hospital NHS Foundation Trust",10953,312,8418,19683,7356,312,8344,16012,3597,0,74,3671,0.813493877965757,0.671596822788277,1,0.991209313376099,3984,6,0,3990,1475,5465,537,7,"Humber, Coast and Vale STP",2019-08-01
"REM","NHS England North West","Aintree University Hospital NHS Foundation Trust",8222,0,362,8584,6608,0,362,6970,1614,0,0,1614,0.811975768872321,0.803697397226952,NA,1,3760,0,0,3760,812,4572,164,0,"Cheshire and Merseyside STP",2019-08-01
"RBS","NHS England North West","Alder Hey Children's NHS Foundation Trust",4258,0,0,4258,4031,0,0,4031,227,0,0,227,0.9466885861907,0.9466885861907,NA,NA,874,0,0,874,312,1186,0,0,"Cheshire and Merseyside STP",2019-08-01
"RXL","NHS England North West","Blackpool Teaching Hospitals NHS Foundation Trust",6523,0,13499,20022,3918,0,13489,17407,2605,0,10,2615,0.869393666966337,0.6006438755174,NA,0.99925920438551,2552,0,0,2552,834,3386,896,10,"Cheshire and Merseyside STP",2019-08-01
"RMC","NHS England North West","Bolton NHS Foundation Trust",9028,0,888,9916,7556,0,886,8442,1472,0,2,1474,0.851351351351351,0.836951705804165,NA,0.997747747747748,2047,0,25,2072,638,2710,351,2,"Cheshire and Merseyside STP",2019-08-01
"RY2","NHS England North West","Bridgewater Community Healthcare NHS Foundation Trust",0,0,8207,8207,0,0,8127,8127,0,0,80,80,0.990252223711466,NA,NA,0.990252223711466,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-08-01
"RJR","NHS England North West","Countess Of Chester Hospital NHS Foundation Trust",5984,0,664,6648,5288,0,664,5952,696,0,0,696,0.895306859205776,0.883689839572192,NA,1,1880,0,0,1880,768,2648,290,0,"Cheshire and Merseyside STP",2019-08-01
"RJN","NHS England North West","East Cheshire NHS Trust",4259,0,148,4407,3414,0,148,3562,845,0,0,845,0.808259587020649,0.80159661892463,NA,1,1007,0,0,1007,266,1273,100,1,"Cheshire and Merseyside STP",2019-08-01
"RXR","NHS England North West","East Lancashire Hospitals NHS Trust",9427,184,5779,15390,6908,184,5466,12558,2519,0,313,2832,0.81598440545809,0.732788798133022,1,0.94583838034262,3692,0,21,3713,1405,5118,625,9,"Cheshire and Merseyside STP",2019-08-01
"RXN","NHS England North West","Lancashire Teaching Hospitals NHS Foundation Trust",4449,0,9089,13538,2590,0,8874,11464,1859,0,215,2074,0.846801595508938,0.582153292874803,NA,0.976345032456816,2260,0,439,2699,1130,3829,620,33,"Cheshire and Merseyside STP",2019-08-01
"RBQ","NHS England North West","Liverpool Heart And Chest Hospital NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,199,199,0,0,"Cheshire and Merseyside STP",2019-08-01
"REP","NHS England North West","Liverpool Women's NHS Foundation Trust",0,1086,0,1086,0,1081,0,1081,0,5,0,5,0.995395948434622,NA,0.995395948434622,NA,0,78,0,78,20,98,0,0,"Cheshire and Merseyside STP",2019-08-01
"R0A","NHS England North West","Manchester University NHS Foundation Trust",21180,3652,9264,34096,16419,3632,9191,29242,4761,20,73,4854,0.857637259502581,0.775212464589235,0.994523548740416,0.992120034542314,6456,176,163,6795,1277,8072,1093,0,"Cheshire and Merseyside STP",2019-08-01
"RW4","NHS England North West","Mersey Care NHS Foundation Trust",0,0,1932,1932,0,0,1932,1932,0,0,0,0,1,NA,NA,1,0,0,0,0,127,127,0,0,"Cheshire and Merseyside STP",2019-08-01
"RBT","NHS England North West","Mid Cheshire Hospitals NHS Foundation Trust",6166,0,2480,8646,4272,0,2474,6746,1894,0,6,1900,0.780245200092528,0.692831657476484,NA,0.99758064516129,2331,0,0,2331,828,3159,103,0,"Cheshire and Merseyside STP",2019-08-01
"Y02532","NHS England North West","Miriam Minor Emergency",0,0,1718,1718,0,0,1718,1718,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-08-01
"Y03645","NHS England North West","Moreton Health Minor Injury",0,0,451,451,0,0,451,451,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-08-01
"RTV","NHS England North West","North West Boroughs Healthcare NHS Foundation Trust",0,0,10731,10731,0,0,10615,10615,0,0,116,116,0.989190196626596,NA,NA,0.989190196626596,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-08-01
"Y02533","NHS England North West","Parkfield (H) Minor Emergency",0,0,328,328,0,0,328,328,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-08-01
"RW6","NHS England North West","Pennine Acute Hospitals NHS Trust",23226,0,9677,32903,17377,0,9489,26866,5849,0,188,6037,0.816521289851989,0.748170154137604,NA,0.980572491474631,6489,0,140,6629,1524,8153,753,1,"Cheshire and Merseyside STP",2019-08-01
"AC008","NHS England North West","Rossendale Minor Injuries Unit",0,0,997,997,0,0,996,996,0,0,1,1,0.998996990972919,NA,NA,0.998996990972919,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-08-01
"RQ6","NHS England North West","Royal Liverpool And Broadgreen University Hospitals NHS Trust",9504,318,10153,19975,7491,318,10153,17962,2013,0,0,2013,0.899224030037547,0.788194444444444,1,1,2588,0,0,2588,1232,3820,430,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-08-01
"RM3","NHS England North West","Salford Royal NHS Foundation Trust",8684,0,3697,12381,7281,0,3697,10978,1403,0,0,1403,0.886681205072288,0.838438507600184,NA,1,2853,0,0,2853,338,3191,372,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-08-01
"NQT5F","NHS England North West","Skelmersdale Walk In Centre",0,0,1913,1913,0,0,1857,1857,0,0,56,56,0.970726607422896,NA,NA,0.970726607422896,0,0,0,0,0,0,0,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-08-01
"RVY","NHS England North West","Southport And Ormskirk Hospital NHS Trust",7124,0,3048,10172,5881,0,3028,8909,1243,0,20,1263,0.875835627211954,0.825519371139809,NA,0.993438320209974,2684,0,0,2684,99,2783,259,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-08-01
"RBN","NHS England North West","St Helens And Knowsley Teaching Hospitals NHS Trust",9810,0,0,9810,7145,0,0,7145,2665,0,0,2665,0.728338430173293,0.728338430173293,NA,NA,4438,0,0,4438,341,4779,379,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-08-01
"RWJ","NHS England North West","Stockport NHS Foundation Trust",8243,0,0,8243,5591,0,0,5591,2652,0,0,2652,0.678272473613975,0.678272473613975,NA,NA,2291,0,0,2291,785,3076,974,22,"Greater Manchester Health and Social Care Partnership (STP)",2019-08-01
"RMP","NHS England North West","Tameside And Glossop Integrated Care NHS Foundation Trust",7792,0,2630,10422,7077,0,2630,9707,715,0,0,715,0.931395125695644,0.908239219712526,NA,1,1708,0,0,1708,457,2165,67,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-08-01
"RBV","NHS England North West","The Christie NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,504,504,0,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-08-01
"RET","NHS England North West","The Walton Centre NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,159,159,0,0,"Healthier Lancashire and South Cumbria",2019-08-01
